iter	Passed	Remaining
1203	41909	2637978
1204	41943	2637863
1205	41975	2637662
1206	42009	2637599
1207	42051	2638009
1208	42098	2638741
1209	42140	2639142
1210	42181	2639509
1211	42232	2640485
1212	42275	2640970
1213	42308	2640827
1214	42342	2640739
1215	42376	2640593
1216	42412	2640662
1217	42445	2640506
1218	42479	2640416
1219	42512	2640244
1220	42543	2640011
1221	42578	2639978
1222	42611	2639815
1223	42644	2639683
1224	42683	2639905
1225	42716	2639754
1226	42749	2639597
1227	42782	2639436
1228	42814	2639214
1229	42849	2639186
1230	42884	2639178
1231	42914	2638850
1232	42946	2638679
1233	42980	2638565
1234	43013	2638421
1235	43046	2638248
1236	43082	2638301
1237	43115	2638161
1238	43147	2637940
1239	43181	2637861
1240	43214	2637744
1241	43249	2637693
1242	43283	2637632
1243	43322	2637826
1244	43357	2637788
1245	43390	2637644
1246	43423	2637489
1247	43457	2637402
1248	43491	2637376
1249	43526	2637300
1250	43558	2637094
1251	43595	2637239
1252	43629	2637129
1253	43663	2637047
1254	43698	2636991
1255	43731	2636882
1256	43766	2636833
1257	43800	2636798
1258	43833	2636636
1259	43865	2636422
1260	43898	2636253
1261	43940	2636699
1262	43973	2636530
1263	44007	2636471
1264	44043	2636461
1265	44076	2636368
1266	44110	2636235
1267	44144	2636199
1268	44180	2636206
1269	44214	2636097
1270	44247	2635975
1271	44282	2635940
1272	44319	2636073
1273	44362	2636508
1274	44403	2636845
1275	44450	2637519
1276	44488	2637697
1277	44528	2637918
1278	44566	2638105
1279	44599	2637971
1280	44632	2637794
1281	44664	2637636
1282	44698	2637521
1283	44733	2637509
1284	44768	2637457
1285	44804	2637518
1286	44836	2637302
1287	44869	2637179
1288	44902	2637004
1289	44939	2637093
1290	44976	2637213
1291	45008	2637029
1292	45041	2636854
1293	45073	2636673
1294	45106	2636499
1295	45139	2636371
1296	45179	2636635
1297	45211	2636467
1298	45244	2636290
1299	45276	2636122
1300	45309	2635976
1301	45346	2636025
1302	45380	2635958
1303	45414	2635888
1304	45446	2635677
1305	45479	2635551
1306	45513	2635477
1307	45551	2635602
1308	45588	2635678
1309	45621	2635539
1310	45655	2635498
1311	45689	2635385
1312	45720	2635165
1313	45754	2635039
1314	45786	2634892
1315	45820	2634784
1316	45854	2634703
1317	45888	2634639
1318	45925	2634705
1319	45960	2634712
1320	45996	2634721
1321	46029	2634596
1322	46062	2634430
1323	46098	2634447
1324	46130	2634274
1325	46166	2634337
1326	46204	2634478
1327	46239	2634422
1328	46273	2634356
1329	46309	2634393
1330	46343	2634308
1331	46378	2634305
1332	46418	2634511
1333	46450	2634330
1334	46484	2634244
1335	46516	2634067
1336	46549	2633906
1337	46584	2633888
1338	46624	2634151
1339	46664	2634406
1340	46704	2634679
